u,v,k,route_id
288760413,288760407,0,256
288760413,288760407,0,256
291880662,411746956,0,257
411746956,291880662,0,257
291880662,411746956,0,257
710121694,584359459,0,258
584359459,710121694,0,258
310220568,710121694,0,258
8371871834,6603439683,0,259
6603439683,6603439682,0,259
584359459,710121694,0,260
584359459,710121694,0,260
1412555491,584359459,0,260
310220545,310420028,0,261
310420028,310220545,0,261
310416378,310416398,0,262
310416378,310416398,0,262
310220562,1412555479,0,263
310220562,1412555479,0,263
7095377469,8204795026,0,264
1670874083,1670874045,0,265
1670874083,1670874045,0,265
584359459,710121694,0,266
1670874083,1670874045,0,267
1670874045,1670874083,0,267
1670874045,1670874083,0,267
291324772,291324773,0,268
292315137,317985200,0,269
291324776,8001547605,0,270
7095377469,8204795026,0,271
710121694,584359459,0,272
268208616,291332005,0,273
291332005,268208616,0,273
584359459,710121694,0,274
584359459,710121694,0,274
1412555491,584359459,0,274
6603439683,6603439682,0,275
268662846,268829894,0,276
310220568,710121694,0,277
584359459,710121694,0,277
584359459,710121694,0,277
584359459,710121694,0,277
584359459,289034676,0,277
289034676,289036332,0,277
289034676,289036332,0,277
289034676,289036332,0,277
289036332,341107324,0,277
289036332,341107324,0,277
341107324,310797307,0,277
341107324,310797307,0,277
289036157,310797307,0,277
289036157,310797307,0,277
310797307,289036157,0,277
289036157,310797307,0,277
289036157,310797307,0,277
310797307,289036157,0,277
289036755,289036157,0,277
289036755,289036157,0,277
289036157,289036755,0,277
289036755,289036157,0,277
289037290,289036755,0,277
1670874045,1670874083,0,278
1670874045,1670874083,0,278
623936834,623936833,0,279
623936834,623936833,0,279
291332005,3146525544,0,280
3146525544,291332005,0,280
291332005,3146525544,0,280
268208616,291332005,0,280
268208616,291332005,0,280
291332005,268208616,0,280
291332005,268208616,0,280
291332005,268208616,0,280
291332005,268208616,0,280
291332005,3146525544,0,280
3146525544,291332005,0,280
3146525544,291332005,0,280
291332005,3146525544,0,280
3146525544,291332005,0,280
291332005,3146525544,0,280
291332005,3146525544,0,280
3146525544,291332005,0,280
3146525544,291332005,0,280
3146525544,291332005,0,280
7095377469,8204795026,0,281
312842757,310416411,0,282
623936844,623936834,0,283
317985200,292315135,0,284
317985200,292315135,0,284
310420028,310220545,0,285
310220545,310420028,0,285
310220562,1412555479,0,286
310220562,1412555479,0,286
8204795026,7095377469,0,287
8204795026,7095377469,0,287
8204795026,7095377469,0,287
7095377469,413940531,0,287
413940531,50016625,0,287
413940537,50016625,0,287
413940537,50016625,0,287
413940534,413940537,1,287
413940534,413940537,1,287
413940534,413940537,1,287
310220562,310420028,0,288
603600056,568435426,0,289
310416411,312842757,0,290
288759444,310416411,0,290
623936833,614616710,0,291
435202749,268676330,0,292
268676330,435202749,0,292
1670874083,1670874045,0,293
1670874083,1670874045,0,293
435202749,268676330,0,294
435202749,268676330,0,294
413940534,413940537,1,295
413940537,413940534,1,295
289037290,289036755,0,296
289037290,289036755,0,296
289037290,289036755,0,296
289037290,289036755,0,296
289037290,289036755,0,296
6603439683,6603439682,0,297
6603439675,6603439682,0,297
6603439675,6603455485,0,297
288760413,288760407,0,298
288760407,288760413,0,298
435202749,268676330,0,299
435202749,268676330,0,299
435202749,268676330,0,299
435202749,268676330,0,299
435202749,268676330,0,299
3030197920,5757857991,0,300
3030197920,5757857991,0,300
268208616,291332005,0,301
268208616,291332005,0,301
310416411,288759444,0,302
288759444,310416411,0,302
288759444,288759446,0,302
288759444,288759446,0,302
288759446,288759444,0,302
288759444,288759446,0,302
288759444,288759446,0,302
288759446,288759444,0,302
268208617,3149564711,0,303
1670874045,1670874083,0,304
1670874083,1670874045,0,304
310416398,310416378,0,305
310416398,310416378,0,305
435202749,268676330,0,306
3030197920,5757857991,0,307
3030197920,5757857991,0,307
3030197920,5757857991,0,307
435202749,268676330,0,308
3030197920,5757857991,0,309
3030197920,5757857991,0,310
292344273,292553609,0,311
292344273,292553609,0,311
291324777,3149564711,0,312
291324777,3149564711,0,312
291324779,291324776,0,313
1412555491,584359459,0,314
584359459,289034676,0,314
289034676,289036332,0,314
289034676,289036332,0,314
289034676,289036332,0,314
289036332,341107324,0,314
289036332,341107324,0,314
341107324,310797307,0,314
341107324,310797307,0,314
289036157,310797307,0,314
